Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,317.799988,322.500000,317.500000,320.600006,312.338684,311396
2013-01-02,321.600006,326.200012,320.049988,321.350006,313.069366,123953
2013-01-03,322.250000,329.000000,319.200012,327.750000,319.304474,192590
2013-01-04,327.799988,329.700012,325.649994,327.100006,318.671204,116097
2013-01-07,328.299988,331.149994,325.299988,326.700012,318.281494,164864
2013-01-08,326.700012,332.899994,325.000000,330.299988,321.788727,130615
2013-01-09,332.399994,336.299988,331.350006,333.200012,324.614014,234474
2013-01-10,332.549988,334.000000,326.500000,329.899994,321.399048,183973
2013-01-11,329.500000,330.700012,324.000000,324.700012,316.333069,168281
2013-01-14,325.000000,331.500000,323.250000,329.399994,320.911896,186048
2013-01-15,329.000000,349.950012,325.049988,345.250000,336.353485,879186
2013-01-16,346.000000,348.500000,340.500000,342.450012,333.625641,383757
2013-01-17,341.049988,356.700012,335.000000,353.950012,344.829315,1423585
2013-01-18,353.000000,353.500000,345.200012,348.649994,339.665894,349487
2013-01-21,347.000000,356.500000,345.000000,355.000000,345.852264,3687114
2013-01-22,355.000000,355.000000,349.000000,351.649994,342.588593,1273857
2013-01-23,350.600006,369.000000,350.250000,367.250000,357.786560,1581222
2013-01-24,368.799988,369.700012,359.100006,361.000000,351.697662,340115
2013-01-25,361.000000,370.399994,357.100006,359.600006,350.333710,278361
2013-01-28,358.000000,362.799988,355.500000,357.600006,348.385223,220910
2013-01-29,356.299988,363.500000,347.600006,348.899994,339.909424,285458
2013-01-30,350.500000,353.000000,343.000000,344.649994,335.768951,1074727
2013-01-31,345.000000,347.200012,338.100006,339.399994,330.654236,177003
2013-02-01,338.399994,347.200012,327.100006,330.500000,321.983551,1686367
2013-02-04,331.399994,334.549988,327.799988,330.950012,322.421997,328397
2013-02-05,330.000000,332.899994,323.000000,324.549988,316.186920,251119
2013-02-06,326.799988,330.850006,324.600006,326.549988,318.135345,206155
2013-02-07,327.149994,327.700012,316.299988,319.750000,311.510559,232931
2013-02-08,321.000000,324.899994,317.350006,321.100006,312.825775,200831
2013-02-11,319.350006,320.350006,314.799988,316.049988,307.905914,112027
2013-02-12,315.700012,323.299988,314.000000,321.700012,313.410339,245471
2013-02-13,323.799988,329.899994,323.049988,325.500000,317.112427,198789
2013-02-14,324.149994,326.750000,310.399994,312.399994,304.349976,253103
2013-02-15,313.000000,318.149994,306.549988,316.250000,308.100769,248172
2013-02-18,316.000000,317.450012,312.000000,313.850006,305.762604,112703
2013-02-19,315.000000,315.000000,304.750000,307.750000,299.819794,236425
2013-02-20,310.500000,311.500000,303.500000,304.549988,296.702271,395699
2013-02-21,303.000000,307.750000,291.649994,296.049988,288.421295,1016866
2013-02-22,296.649994,311.100006,296.049988,309.799988,301.816986,652179
2013-02-25,307.799988,311.750000,305.399994,307.049988,299.137848,364825
2013-02-26,310.000000,334.549988,302.549988,311.299988,303.278290,860199
2013-02-27,316.750000,324.450012,315.000000,321.549988,313.264160,521240
2013-02-28,326.500000,327.850006,317.649994,323.549988,315.212677,623412
2013-03-01,323.549988,326.149994,308.100006,310.950012,302.937378,879798
2013-03-04,314.000000,316.899994,307.549988,315.500000,307.370087,393518
2013-03-05,316.750000,324.000000,309.899994,321.950012,313.653870,522540
2013-03-06,325.000000,327.000000,319.200012,321.700012,313.410339,586475
2013-03-07,319.000000,321.299988,316.549988,320.450012,312.192566,307414
2013-03-08,323.000000,325.649994,320.500000,323.100006,314.774261,564406
2013-03-11,323.000000,326.049988,319.250000,322.049988,313.751312,496552
2013-03-12,321.000000,321.000000,314.100006,315.200012,307.077850,149020
2013-03-13,314.200012,320.000000,311.000000,317.600006,309.415955,455436
2013-03-14,315.000000,317.799988,309.049988,315.000000,306.882935,270398
2013-03-15,312.500000,317.100006,307.200012,311.049988,303.034790,744155
2013-03-18,306.000000,310.500000,301.200012,308.000000,300.063385,351947
2013-03-19,310.000000,311.799988,284.299988,293.399994,285.839569,1424797
2013-03-20,290.000000,297.549988,275.549988,281.149994,273.905243,1719083
2013-03-21,286.000000,303.500000,283.600006,298.000000,290.321045,1583775
2013-03-22,299.000000,299.899994,288.600006,294.200012,286.618958,534993
2013-03-25,297.700012,297.700012,287.350006,288.450012,281.017120,681632
2013-03-26,286.500000,298.250000,285.350006,297.049988,289.395508,410789
2013-03-28,297.049988,297.049988,288.700012,291.799988,284.280823,158517
2013-04-01,291.799988,295.000000,289.200012,293.399994,285.839569,190851
2013-04-02,294.000000,294.899994,290.250000,292.200012,284.670532,200131
2013-04-03,292.000000,292.700012,279.399994,280.649994,273.418121,406489
2013-04-04,280.549988,284.649994,272.200012,273.750000,266.695923,474486
2013-04-05,273.799988,279.350006,266.950012,270.649994,263.675781,453906
2013-04-08,270.950012,284.549988,270.250000,281.200012,273.953949,632429
2013-04-09,281.850006,283.500000,274.100006,277.100006,269.959625,623232
2013-04-10,279.000000,282.750000,274.450012,281.649994,274.392334,354673
2013-04-11,282.000000,282.000000,271.700012,275.149994,268.059845,441762
2013-04-12,274.049988,278.350006,271.600006,273.350006,266.306274,179748
2013-04-15,272.799988,283.700012,271.500000,279.850006,272.638794,562936
2013-04-16,281.750000,285.950012,278.250000,285.299988,277.948334,260128
2013-04-17,286.000000,288.500000,283.450012,286.149994,278.776398,186200
2013-04-18,285.000000,301.250000,285.000000,299.450012,291.733704,458603
2013-04-22,299.450012,304.649994,299.000000,300.750000,293.000214,115854
2013-04-23,301.000000,307.600006,296.799988,299.450012,291.733704,399089
2013-04-25,299.450012,309.600006,298.850006,304.549988,296.702271,195537
2013-04-26,306.299988,320.850006,306.299988,318.399994,310.195374,628763
2013-04-29,319.000000,324.250000,313.000000,318.100006,309.903107,245971
2013-04-30,321.100006,323.700012,314.000000,318.750000,310.536316,226472
2013-05-02,318.750000,324.000000,305.250000,316.700012,308.539215,1146517
2013-05-03,326.200012,331.000000,316.100006,317.700012,309.513428,771758
2013-05-06,322.450012,323.000000,318.149994,320.000000,311.754120,190120
2013-05-07,320.899994,332.200012,318.350006,330.049988,321.545166,383258
2013-05-08,331.100006,331.149994,322.649994,324.049988,315.699707,145515
2013-05-09,323.000000,327.500000,322.750000,324.899994,316.527832,114730
2013-05-10,328.000000,328.000000,323.000000,324.149994,315.797211,116908
2013-05-13,322.500000,324.899994,310.700012,311.649994,303.619293,269403
2013-05-14,316.950012,318.649994,312.000000,317.200012,309.026306,157147
2013-05-15,316.600006,324.399994,316.500000,322.399994,314.092285,151329
