Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,318.549988,323.000000,317.500000,322.100006,312.294800,1719595
2013-01-02,322.299988,326.299988,320.000000,321.049988,311.276703,2809828
2013-01-03,323.000000,328.899994,319.299988,328.000000,318.015167,3677588
2013-01-04,327.149994,329.799988,325.750000,327.000000,317.045624,3282834
2013-01-07,329.649994,331.149994,325.299988,326.799988,316.851685,3315377
2013-01-08,326.799988,332.750000,324.700012,330.299988,320.245148,3228335
2013-01-09,331.950012,336.500000,331.299988,333.750000,323.590149,5122162
2013-01-10,333.549988,333.950012,326.850006,330.049988,320.002747,2530888
2013-01-11,329.799988,331.049988,323.899994,325.200012,315.300385,2777058
2013-01-14,326.500000,330.000000,323.299988,328.700012,318.693848,3271242
2013-01-15,328.500000,350.600006,326.299988,345.200012,334.691589,9143622
2013-01-16,345.000000,348.600006,340.799988,342.899994,332.461578,4095484
2013-01-17,341.100006,357.000000,338.299988,353.500000,342.738922,7430591
2013-01-18,351.899994,353.399994,345.250000,348.850006,338.230438,5354557
2013-01-21,347.250000,359.000000,344.799988,355.549988,344.726471,5146996
2013-01-22,354.649994,354.899994,349.000000,351.649994,340.945221,5148108
2013-01-23,351.000000,368.549988,350.250000,367.350006,356.167328,8519611
2013-01-24,368.950012,369.600006,359.600006,361.899994,350.883209,4848135
2013-01-25,360.000000,370.600006,357.200012,360.500000,349.525818,4734763
2013-01-28,357.799988,362.799988,355.500000,357.350006,346.471710,2872794
2013-01-29,357.350006,363.600006,348.299988,349.500000,338.860657,4479132
2013-01-30,352.700012,352.950012,342.549988,344.600006,334.109802,3448857
2013-01-31,343.149994,347.450012,337.399994,339.600006,329.262054,4275185
2013-02-01,336.450012,346.799988,326.700012,329.399994,319.372559,15973555
2013-02-04,332.000000,334.700012,327.799988,331.049988,320.972290,4035813
2013-02-05,329.549988,333.200012,322.850006,324.750000,314.864105,6294423
2013-02-06,327.450012,330.850006,324.450012,326.600006,316.657776,3838138
2013-02-07,326.600006,326.899994,316.149994,320.100006,310.355652,3302713
2013-02-08,319.799988,325.200012,317.250000,321.799988,312.003906,3692959
2013-02-11,320.100006,321.000000,314.649994,316.200012,306.574371,2276277
2013-02-12,314.049988,323.500000,314.049988,322.299988,312.488678,2478887
2013-02-13,323.500000,330.350006,322.899994,325.950012,316.027557,3046771
2013-02-14,326.399994,326.500000,310.200012,311.700012,302.211334,4392038
2013-02-15,311.700012,318.250000,306.649994,316.649994,307.010651,3074733
2013-02-18,316.000000,317.500000,312.000000,313.700012,304.150482,2514586
2013-02-19,314.950012,315.000000,304.600006,307.549988,298.187683,4557863
2013-02-20,311.299988,311.399994,303.049988,304.000000,294.745789,7260463
2013-02-21,302.899994,307.799988,291.500000,296.200012,287.183197,7970709
2013-02-22,297.299988,311.299988,296.149994,309.649994,300.223816,6408998
2013-02-25,307.500000,311.799988,305.500000,307.000000,297.654449,3621177
2013-02-26,311.899994,335.600006,302.600006,311.799988,302.308289,10760276
2013-02-27,317.000000,324.899994,315.350006,321.750000,311.955414,9599900
2013-02-28,326.399994,327.799988,317.250000,322.899994,313.070404,9598857
2013-03-01,323.450012,326.299988,307.899994,311.100006,301.629639,7595738
2013-03-04,311.000000,318.149994,307.250000,316.049988,306.428925,3605048
2013-03-05,316.000000,323.950012,309.600006,322.100006,312.294800,5540707
2013-03-06,323.250000,326.950012,318.850006,320.450012,310.695007,4746184
2013-03-07,319.000000,321.299988,316.200012,320.250000,310.501099,5028875
2013-03-08,323.049988,325.950012,320.500000,322.899994,313.070404,3015108
2013-03-11,323.100006,326.450012,319.000000,321.350006,311.567596,3648074
2013-03-12,321.000000,321.000000,313.899994,314.549988,304.974609,2450601
2013-03-13,313.200012,320.350006,310.899994,317.299988,307.640839,4156246
2013-03-14,315.600006,317.450012,309.000000,314.600006,305.023102,5372321
2013-03-15,312.299988,317.250000,307.200012,310.299988,300.853943,6070791
2013-03-18,305.000000,310.350006,301.149994,307.500000,298.139191,5243284
2013-03-19,310.000000,311.899994,284.000000,293.399994,284.468414,15992336
2013-03-20,291.000000,297.399994,275.600006,280.049988,271.524811,20799128
2013-03-21,285.000000,303.600006,285.000000,297.899994,288.831451,11023517
2013-03-22,299.750000,299.750000,288.850006,294.049988,285.098663,6362754
2013-03-25,297.000000,297.500000,287.600006,288.600006,279.814575,5156416
2013-03-26,286.899994,298.000000,285.450012,296.899994,287.861908,6637974
2013-03-28,296.899994,296.899994,288.750000,291.750000,282.868652,4467333
2013-04-01,291.750000,294.899994,288.000000,293.649994,284.710815,1452020
2013-04-02,294.000000,295.000000,290.299988,291.799988,282.917145,2705431
2013-04-03,290.450012,292.899994,279.600006,280.799988,272.251984,5649118
2013-04-04,281.000000,284.549988,272.049988,273.600006,265.271179,6518245
2013-04-05,273.000000,279.600006,266.549988,270.250000,262.023163,4321668
2013-04-08,270.000000,284.399994,269.850006,280.600006,272.058105,3964800
2013-04-09,282.000000,282.500000,274.000000,277.000000,268.567688,4390191
2013-04-10,279.100006,282.950012,274.399994,281.649994,273.076111,3493011
2013-04-11,280.649994,281.250000,271.649994,275.200012,266.822510,4138660
2013-04-12,273.000000,278.399994,271.000000,273.500000,265.174255,2014947
2013-04-15,271.000000,283.799988,270.850006,279.649994,271.136993,3029345
2013-04-16,281.799988,285.950012,278.399994,285.000000,276.324188,3106444
2013-04-17,285.000000,288.500000,283.500000,286.049988,277.342163,3100491
2013-04-18,285.000000,302.000000,284.500000,299.649994,290.528198,6084934
2013-04-22,299.649994,305.000000,299.000000,300.750000,291.594666,3260252
2013-04-23,300.700012,307.750000,296.500000,299.450012,290.334290,5835909
2013-04-25,299.450012,309.799988,298.549988,303.850006,294.600311,5039180
2013-04-26,311.000000,321.000000,309.100006,318.450012,308.755890,7094560
2013-04-29,320.700012,324.149994,312.950012,318.200012,308.513519,3315857
2013-04-30,324.000000,324.049988,313.899994,318.750000,309.046753,3415935
2013-05-02,318.750000,324.799988,303.100006,316.750000,307.107605,11886408
2013-05-03,326.000000,331.500000,316.100006,317.700012,308.028748,7779835
2013-05-06,322.049988,323.350006,318.100006,320.500000,310.743469,5012266
2013-05-07,322.250000,332.799988,318.899994,331.200012,321.117767,5984796
2013-05-08,331.000000,331.000000,322.850006,324.200012,314.330872,3653087
2013-05-09,322.000000,327.799988,322.000000,325.000000,315.106445,3316021
2013-05-10,325.000000,327.000000,322.649994,324.250000,314.379333,2306447
2013-05-13,321.899994,324.799988,310.200012,311.750000,302.259796,2938891
2013-05-14,314.500000,318.899994,312.100006,317.250000,307.592407,2466898
2013-05-15,315.299988,324.600006,315.299988,322.649994,312.828003,3306969
2013-05-16,321.149994,327.850006,320.549988,321.500000,311.713013,2567538
2013-05-17,322.399994,323.500000,312.649994,315.549988,305.944122,2675844
2013-05-20,319.700012,319.799988,306.799988,307.799988,298.430054,3724937
2013-05-21,307.000000,311.000000,302.750000,304.450012,295.182098,3183905
2013-05-22,306.700012,313.899994,306.000000,312.049988,302.550720,3838636
2013-05-23,308.250000,308.850006,299.100006,300.250000,292.045837,6411926
2013-05-24,304.700012,304.700012,294.649994,298.500000,290.343628,2897762
2013-05-27,300.000000,310.899994,300.000000,309.149994,300.702637,3168322
2013-05-28,310.600006,317.399994,310.000000,314.799988,306.198212,2575984
2013-05-29,315.950012,316.200012,309.600006,315.000000,306.392761,2063617
2013-05-30,306.299988,319.100006,306.299988,315.399994,306.781860,2567220
2013-05-31,314.000000,316.549988,297.000000,301.950012,293.699371,2965374
2013-06-03,302.299988,308.450012,298.399994,303.399994,295.109711,1608555
2013-06-04,305.250000,308.500000,302.549988,304.200012,295.887909,1309904
2013-06-05,305.700012,306.000000,300.100006,302.450012,294.185699,4122132
2013-06-06,301.950012,302.399994,292.299988,295.100006,287.036560,5912055
2013-06-07,293.100006,296.899994,286.700012,288.299988,280.422302,4082684
2013-06-10,290.500000,291.399994,281.000000,283.750000,275.996674,4452987
2013-06-11,281.549988,283.200012,274.250000,278.700012,271.084656,8138375
2013-06-12,276.250000,281.700012,274.600006,277.750000,270.160614,5215478
2013-06-13,275.200012,288.850006,275.200012,287.700012,279.838745,4613514
2013-06-14,290.000000,292.350006,287.100006,289.450012,281.540924,2580211
2013-06-17,289.450012,300.000000,289.450012,296.000000,287.911957,3955786
2013-06-18,299.100006,301.450012,289.649994,291.950012,283.972626,3410019
2013-06-19,292.000000,301.750000,292.000000,299.549988,291.364929,3432738
2013-06-20,295.000000,295.000000,286.600006,288.799988,280.908691,7118719
2013-06-21,288.799988,295.549988,285.850006,291.950012,283.972626,5653537
2013-06-24,289.000000,291.000000,281.600006,283.450012,275.704895,4783222
2013-06-25,284.500000,297.149994,280.149994,295.299988,287.231049,4286337
2013-06-26,293.000000,294.000000,276.450012,277.700012,270.111969,9111931
2013-06-27,285.899994,285.899994,278.000000,280.750000,273.078674,5729066
2013-06-28,282.250000,294.100006,281.299988,291.750000,283.778076,4067169
2013-07-01,291.750000,301.000000,291.149994,296.149994,288.057861,3167392
2013-07-02,294.850006,305.649994,292.000000,302.850006,294.574799,5035140
2013-07-03,302.000000,306.649994,282.799988,294.549988,286.501556,4379599
2013-07-04,293.100006,303.600006,293.100006,301.149994,292.921204,3076649
2013-07-05,304.600006,306.100006,292.799988,295.850006,287.766052,1934909
2013-07-08,293.200012,307.700012,290.100006,293.600006,285.577515,4546445
2013-07-09,294.600006,297.000000,290.100006,291.649994,283.680786,2551185
2013-07-10,294.000000,294.000000,289.149994,290.100006,282.173157,2815323
2013-07-11,293.000000,301.000000,293.000000,300.049988,291.851318,2685299
2013-07-12,301.000000,306.950012,296.799988,305.500000,297.152344,3406255
2013-07-15,304.100006,316.149994,302.049988,314.450012,305.857788,3445497
2013-07-16,310.000000,323.549988,308.299988,321.100006,312.326111,3778621
2013-07-17,325.000000,327.450012,312.100006,316.049988,307.414063,6230190
2013-07-18,314.750000,325.000000,314.750000,323.649994,314.806427,3459638
2013-07-19,323.700012,333.899994,318.399994,329.850006,320.837006,5672291
2013-07-22,328.899994,337.299988,326.049988,336.100006,326.916229,3536186
2013-07-23,336.450012,337.399994,328.850006,330.100006,321.080170,2820493
2013-07-24,327.000000,339.000000,327.000000,337.399994,328.180725,4353761
2013-07-25,337.000000,340.799988,333.200012,337.100006,327.888947,4801747
2013-07-26,337.899994,339.950012,331.049988,337.200012,327.986206,2644855
