Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,785.500000,789.950012,776.474976,779.849976,695.764221,112492
2013-01-02,789.375000,789.375000,762.500000,763.525024,681.199463,275448
2013-01-03,766.049988,772.500000,760.500000,763.775024,681.422485,284406
2013-01-04,763.625000,767.349976,758.700012,761.950012,679.794250,278158
2013-01-07,761.950012,774.000000,759.825012,767.400024,684.656616,432440
2013-01-08,769.974976,778.500000,769.150024,772.549988,689.251343,283026
2013-01-09,776.875000,778.599976,768.150024,770.625000,687.533875,353360
2013-01-10,772.575012,779.000000,757.500000,762.375000,680.173401,412364
2013-01-11,769.625000,772.450012,748.049988,750.599976,669.668091,177276
2013-01-14,753.575012,754.500000,737.500000,744.924988,664.604919,226044
2013-01-15,744.750000,758.349976,733.000000,734.500000,655.304016,329714
2013-01-16,738.875000,745.000000,730.500000,732.275024,653.318909,162890
2013-01-17,739.924988,740.000000,721.250000,722.650024,644.731750,120716
2013-01-18,728.650024,751.000000,723.500000,746.700012,666.188599,232202
2013-01-21,748.375000,757.000000,743.200012,748.799988,668.062256,136056
2013-01-22,749.974976,751.875000,738.325012,741.900024,661.906128,123284
2013-01-23,742.025024,742.025024,700.474976,715.400024,638.263550,276162
2013-01-24,714.974976,723.500000,710.000000,713.775024,636.813782,241476
2013-01-25,715.250000,719.700012,700.500000,704.450012,628.493958,280246
2013-01-28,700.049988,712.625000,691.099976,694.025024,619.193298,241886
2013-01-29,685.424988,695.000000,677.625000,682.250000,608.687927,516794
2013-01-30,687.950012,706.474976,685.500000,692.500000,617.832520,683384
2013-01-31,681.950012,685.000000,667.000000,675.049988,602.263977,875338
2013-02-01,674.974976,680.974976,669.000000,672.299988,599.810608,423680
2013-02-04,680.400024,680.400024,670.200012,671.674988,599.253052,191760
2013-02-05,675.974976,678.974976,665.775024,677.599976,604.539063,292886
2013-02-06,678.025024,690.000000,670.349976,681.174988,607.728638,219136
2013-02-07,683.200012,688.075012,674.349976,677.875000,604.784546,293090
2013-02-08,678.150024,678.174988,662.500000,666.250000,594.412964,137864
2013-02-11,667.025024,670.000000,661.474976,666.150024,594.323730,112962
2013-02-12,668.875000,677.500000,666.000000,673.424988,600.814331,84566
2013-02-13,677.974976,678.875000,665.924988,667.650024,595.661987,112476
2013-02-14,673.924988,673.974976,654.275024,655.924988,585.201233,102558
2013-02-15,655.000000,661.974976,652.025024,658.400024,587.409302,81048
2013-02-18,658.500000,668.000000,654.000000,665.924988,594.122986,76090
2013-02-19,672.700012,676.349976,667.424988,674.549988,601.817993,157512
2013-02-20,682.450012,682.450012,675.650024,676.974976,603.981567,101562
2013-02-21,682.325012,682.325012,665.000000,667.549988,595.572754,167908
