Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,129.100006,130.500000,129.000000,129.399994,123.980499,315282
2013-01-02,130.149994,131.199997,129.100006,129.699997,124.267929,619966
2013-01-03,128.199997,130.350006,127.650002,128.750000,123.357727,578126
2013-01-04,133.000000,133.000000,127.599998,128.000000,122.639122,637322
2013-01-07,128.699997,128.800003,127.599998,127.900002,122.543320,396702
2013-01-08,133.000000,133.000000,127.050003,128.949997,123.549332,846500
2013-01-09,128.149994,129.250000,127.300003,127.750000,122.399597,1410758
2013-01-10,126.599998,128.449997,126.599998,128.050003,122.687042,416408
2013-01-11,127.800003,128.800003,125.199997,126.050003,120.770805,1992348
2013-01-14,126.300003,129.199997,124.400002,128.750000,123.357727,676529
2013-01-15,128.949997,129.399994,127.250000,128.699997,123.309799,333994
2013-01-16,129.149994,129.899994,127.800003,129.000000,123.597252,1077300
2013-01-17,129.949997,129.949997,128.149994,129.149994,123.740967,243714
2013-01-18,128.050003,129.500000,127.650002,128.949997,123.549332,657512
2013-01-21,129.000000,129.600006,127.349998,128.050003,122.687042,640732
2013-01-22,127.750000,130.100006,127.400002,129.750000,124.315826,708836
2013-01-23,129.149994,130.399994,127.500000,128.800003,123.405632,747400
2013-01-24,129.000000,129.000000,127.000000,127.500000,122.160065,851448
2013-01-25,128.250000,129.449997,127.099998,129.149994,123.740967,818289
2013-01-28,129.449997,132.300003,128.800003,131.399994,125.896729,1288422
2013-01-29,135.649994,137.649994,127.500000,130.550003,125.082344,2999084
2013-01-30,130.550003,131.449997,128.000000,129.899994,124.459549,1215937
2013-01-31,130.399994,133.899994,128.500000,132.699997,127.142273,2536711
2013-02-01,135.800003,135.800003,131.550003,133.649994,128.052505,880048
2013-02-04,133.949997,134.800003,132.750000,133.800003,128.196198,871271
2013-02-05,133.949997,134.449997,130.800003,133.850006,128.244110,1601556
2013-02-06,134.100006,134.850006,132.550003,133.000000,127.429695,1872133
2013-02-07,133.500000,134.000000,131.300003,131.750000,126.232071,2950774
2013-02-08,132.350006,132.350006,130.250000,131.100006,125.609291,1063096
2013-02-11,131.899994,131.899994,130.100006,130.800003,125.321877,957050
2013-02-12,130.850006,133.899994,130.850006,133.750000,128.148331,950791
2013-02-13,132.149994,134.899994,132.149994,133.449997,127.860863,1139131
2013-02-14,133.500000,134.350006,132.699997,133.649994,128.052505,713489
2013-02-15,133.000000,133.899994,132.500000,133.149994,127.573433,227437
2013-02-18,132.949997,133.100006,131.500000,131.800003,126.279984,270711
2013-02-19,132.100006,132.500000,130.750000,131.949997,126.423698,224715
2013-02-20,132.199997,133.050003,131.699997,131.949997,126.423698,447117
2013-02-21,131.949997,132.449997,130.149994,130.850006,125.369766,458985
2013-02-22,131.399994,132.850006,129.300003,131.550003,126.040436,633754
2013-02-25,131.550003,131.550003,128.050003,128.649994,123.261894,240796
2013-02-26,128.699997,130.649994,126.750000,128.800003,123.405632,747702
2013-02-27,129.050003,129.850006,128.000000,129.050003,123.645157,897187
2013-02-28,129.199997,129.850006,124.449997,126.400002,121.106140,987979
2013-03-01,126.849998,129.899994,125.150002,129.500000,124.076302,822139
2013-03-04,123.199997,130.449997,123.199997,128.649994,123.261894,601610
2013-03-05,130.949997,134.899994,129.250000,134.050003,128.435730,1586562
2013-03-06,134.699997,135.550003,132.500000,132.899994,127.333893,538933
2013-03-07,130.500000,133.750000,130.350006,133.000000,127.429695,506797
2013-03-08,133.000000,135.899994,133.000000,135.149994,129.489670,1037730
2013-03-11,135.500000,136.199997,133.500000,134.000000,128.387848,642857
2013-03-12,134.000000,134.149994,132.449997,133.300003,127.717148,538370
2013-03-13,134.000000,134.750000,133.300003,134.399994,128.771057,898979
2013-03-14,134.649994,135.100006,132.199997,133.500000,127.908798,496795
2013-03-15,133.500000,138.000000,133.000000,137.250000,131.501709,1100994
2013-03-18,137.000000,139.699997,136.600006,137.850006,132.076599,985900
2013-03-19,138.850006,138.899994,135.100006,135.949997,130.256165,570595
2013-03-20,138.000000,138.000000,134.699997,135.899994,130.208267,882325
2013-03-21,136.050003,136.899994,133.300003,133.699997,128.100403,522613
2013-03-22,134.949997,138.149994,132.550003,133.750000,128.148331,822226
2013-03-25,138.000000,138.000000,129.899994,130.850006,125.369766,972035
2013-03-26,131.000000,134.500000,129.800003,134.199997,128.579468,584395
2013-03-28,134.199997,138.850006,132.800003,136.949997,131.214279,1477936
2013-04-01,136.949997,142.750000,136.949997,141.850006,135.909088,651587
2013-04-02,143.000000,144.899994,140.649994,141.300003,135.382111,1295336
2013-04-03,141.699997,144.750000,140.750000,144.199997,138.160629,2446305
2013-04-04,143.850006,144.100006,139.699997,140.500000,134.615616,696689
2013-04-05,139.800003,144.149994,138.699997,143.250000,137.250443,4058046
2013-04-08,142.199997,145.750000,141.100006,141.750000,135.813263,888356
2013-04-09,142.600006,143.899994,137.850006,138.949997,133.130508,1381580
2013-04-10,140.000000,140.500000,136.949997,137.500000,131.741241,987414
2013-04-11,136.800003,139.500000,136.800003,137.899994,132.124496,550867
2013-04-12,136.800003,140.800003,136.800003,138.949997,133.130508,845708
2013-04-15,138.149994,140.000000,137.800003,138.300003,132.507736,1175545
2013-04-16,136.600006,139.949997,136.600006,139.399994,133.561661,503464
2013-04-17,137.300003,140.250000,137.300003,139.350006,133.513779,893127
2013-04-18,139.699997,143.800003,139.500000,141.550003,135.621643,2475581
2013-04-22,141.550003,144.899994,141.149994,144.399994,138.352249,677634
2013-04-23,144.500000,144.800003,142.000000,142.600006,136.627655,267555
2013-04-25,142.600006,147.000000,142.600006,145.850006,139.741547,1074079
2013-04-26,146.000000,148.500000,146.000000,146.500000,140.364319,1296255
2013-04-29,145.000000,147.800003,144.649994,146.600006,140.460114,614369
2013-04-30,149.800003,155.899994,144.750000,147.800003,141.609894,5465017
2013-05-02,147.800003,153.000000,147.800003,151.000000,144.675858,2132018
2013-05-03,151.199997,163.449997,151.149994,161.050003,154.304916,4533824
2013-05-06,158.350006,160.449997,157.100006,157.850006,151.238968,1674023
2013-05-07,158.000000,163.000000,158.000000,161.949997,155.167221,2253969
2013-05-08,161.949997,164.699997,161.300003,161.800003,155.023544,1151847
2013-05-09,162.000000,162.699997,157.550003,158.250000,151.622192,607400
2013-05-10,158.100006,162.000000,156.649994,161.000000,154.257034,645674
2013-05-13,161.100006,165.649994,161.100006,163.949997,157.083481,1877357
2013-05-14,163.949997,165.250000,161.300003,161.800003,155.023544,1486058
2013-05-15,162.300003,164.199997,159.699997,161.199997,154.448669,1553423
2013-05-16,160.399994,162.750000,157.800003,158.449997,151.813797,1445124
