Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,137.100006,137.800003,136.449997,136.949997,125.229034,277352
2013-01-02,138.649994,141.000000,137.500000,138.000000,126.189156,1195707
2013-01-03,140.000000,142.949997,138.300003,142.050003,129.892563,2681706
2013-01-04,140.000000,141.750000,138.250000,139.850006,127.880844,1489413
2013-01-07,139.500000,143.250000,138.100006,141.399994,129.298187,1502824
2013-01-08,141.000000,142.750000,139.449997,141.000000,128.932419,472505
2013-01-09,141.100006,141.399994,137.800003,138.800003,126.920692,960542
2013-01-10,139.750000,140.699997,135.600006,136.399994,124.726089,779632
2013-01-11,137.149994,138.449997,132.699997,134.250000,122.760117,726536
2013-01-14,134.699997,136.000000,133.199997,135.100006,123.537361,285547
2013-01-15,136.000000,136.800003,134.550003,135.649994,124.040291,338788
2013-01-16,135.699997,136.800003,131.449997,132.649994,121.297058,737850
2013-01-17,132.649994,134.449997,131.199997,131.899994,120.611237,750591
2013-01-18,133.000000,133.600006,127.599998,129.850006,118.736702,2519750
2013-01-21,130.000000,131.350006,129.000000,130.500000,119.331062,712885
2013-01-22,131.000000,133.449997,130.199997,131.500000,120.245476,953083
2013-01-23,132.350006,132.399994,126.099998,126.949997,116.084900,1224792
2013-01-24,129.949997,129.949997,124.300003,125.750000,114.987595,692103
2013-01-25,125.750000,129.699997,124.500000,128.949997,117.913719,552972
2013-01-28,130.000000,130.000000,126.300003,127.500000,116.587822,1047838
2013-01-29,127.000000,128.350006,126.050003,127.699997,116.770706,518959
2013-01-30,127.699997,128.949997,126.550003,127.650002,116.724983,576418
2013-01-31,128.100006,129.399994,127.400002,128.449997,117.456512,1043369
2013-02-01,129.550003,130.199997,128.000000,128.300003,117.319359,373078
2013-02-04,130.000000,130.000000,125.849998,126.849998,115.993446,704245
2013-02-05,126.000000,128.350006,125.199997,127.099998,116.222046,439069
2013-02-06,127.900002,127.900002,126.099998,126.699997,115.856293,318726
2013-02-07,125.000000,127.699997,124.250000,125.050003,114.347519,183727
2013-02-08,125.050003,125.500000,122.500000,123.800003,113.204498,257237
2013-02-11,125.000000,125.000000,121.800003,123.599998,113.021591,119708
2013-02-12,123.949997,126.250000,122.500000,124.900002,114.210342,175181
2013-02-13,127.000000,127.000000,122.900002,123.099998,112.564392,281912
2013-02-14,123.099998,127.400002,122.349998,123.099998,112.564392,1309155
2013-02-15,122.650002,123.949997,119.550003,122.250000,111.787148,571094
2013-02-18,122.500000,123.400002,120.099998,122.349998,111.878586,852497
2013-02-19,121.000000,123.300003,121.000000,122.400002,111.924301,651565
2013-02-20,122.400002,123.500000,122.050003,122.500000,112.015739,482169
2013-02-21,122.000000,122.000000,117.849998,119.099998,108.906746,536558
2013-02-22,119.150002,119.800003,116.199997,118.400002,108.266647,1416473
2013-02-25,118.449997,119.500000,115.199997,116.349998,106.392097,538169
2013-02-26,116.449997,117.599998,113.900002,116.750000,106.757866,837933
2013-02-27,117.349998,120.599998,116.050003,120.099998,109.821159,734773
2013-02-28,121.500000,123.000000,113.000000,114.750000,104.929039,1671902
2013-03-01,115.349998,119.300003,114.000000,118.050003,107.946609,1288149
2013-03-04,118.099998,118.099998,114.550003,114.849998,105.020470,306996
