Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,217.949997,228.699997,216.649994,226.350006,218.534561,113082
2013-01-02,228.949997,234.949997,227.500000,230.649994,222.686096,102715
2013-01-03,232.500000,232.750000,227.750000,228.250000,220.368973,25880
2013-01-04,230.000000,234.750000,228.000000,231.100006,223.120575,38151
2013-01-07,233.000000,234.050003,227.699997,228.750000,220.851715,17389
2013-01-08,229.899994,232.500000,228.399994,228.699997,220.803452,13602
2013-01-09,230.399994,239.199997,225.550003,227.500000,219.644882,88382
2013-01-10,229.000000,233.100006,228.050003,229.050003,221.141373,24074
2013-01-11,228.300003,230.000000,223.000000,224.149994,216.410522,25641
2013-01-14,225.800003,225.800003,217.350006,218.199997,210.666000,44687
2013-01-15,218.500000,219.649994,216.000000,217.800003,210.279800,24643
2013-01-16,217.050003,222.699997,216.500000,217.199997,209.700546,583283
2013-01-17,218.500000,221.699997,218.000000,219.550003,211.969360,491350
2013-01-18,220.000000,221.000000,217.350006,218.100006,210.569458,11685
2013-01-21,219.000000,220.149994,218.250000,218.600006,211.052185,13470
2013-01-22,219.000000,220.000000,216.250000,217.649994,210.134964,8765
2013-01-23,219.899994,219.899994,214.500000,215.149994,207.721283,13536
2013-01-24,216.000000,216.000000,211.600006,212.600006,205.259354,16307
2013-01-25,213.000000,215.399994,212.500000,213.000000,205.645538,13570
2013-01-28,212.500000,214.000000,211.000000,213.199997,205.838638,17999
2013-01-29,214.750000,218.649994,214.250000,215.600006,208.155792,14077
2013-01-30,220.000000,240.000000,219.000000,228.100006,220.224167,1084395
2013-01-31,230.000000,233.000000,225.000000,232.000000,223.989502,81070
2013-02-01,232.649994,261.500000,232.500000,245.899994,237.409546,804594
2013-02-04,240.199997,251.800003,240.199997,242.550003,234.175247,101714
2013-02-05,242.000000,245.800003,238.300003,240.300003,232.002945,50397
2013-02-06,241.000000,242.399994,232.250000,234.000000,225.920456,81390
2013-02-07,233.350006,238.100006,233.350006,235.649994,227.513443,36498
2013-02-08,236.149994,238.750000,232.649994,236.500000,228.334137,30376
2013-02-11,235.100006,241.649994,235.100006,238.149994,229.927155,56749
2013-02-12,238.300003,246.000000,238.000000,244.300003,235.864822,54862
2013-02-13,245.500000,254.699997,245.350006,250.750000,242.092117,137694
2013-02-14,253.350006,258.399994,251.600006,254.300003,245.519531,106993
2013-02-15,253.600006,259.250000,252.500000,256.649994,247.788391,97735
2013-02-18,260.500000,260.500000,244.000000,253.100006,244.360977,30456
2013-02-19,251.699997,256.649994,251.699997,255.050003,246.243637,19220
2013-02-20,255.300003,264.700012,255.000000,260.500000,251.505447,123318
2013-02-21,260.250000,262.399994,251.300003,253.399994,244.650604,54434
2013-02-22,259.000000,278.000000,252.149994,253.100006,244.360977,19243
2013-02-25,256.799988,256.799988,245.550003,248.850006,240.257736,33956
2013-02-26,247.500000,249.699997,241.250000,243.750000,235.333817,41887
2013-02-27,247.000000,250.750000,243.149994,247.899994,239.340530,35200
2013-02-28,249.000000,250.050003,239.000000,240.949997,232.630478,27685
2013-03-01,238.000000,250.399994,238.000000,249.649994,241.030106,34874
2013-03-04,248.000000,249.600006,241.250000,244.800003,236.347549,12510
2013-03-05,246.199997,250.750000,244.600006,248.949997,240.354248,13311
2013-03-06,248.949997,258.100006,248.949997,255.149994,246.340210,44018
