Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,422.375000,423.000000,419.600006,420.325012,380.643585,669962
2013-01-02,422.500000,427.950012,421.500000,423.875000,383.858429,1019856
2013-01-03,424.174988,430.975006,422.500000,430.274994,389.654205,1207718
2013-01-04,430.299988,432.250000,426.850006,430.375000,389.744781,675988
2013-01-07,431.799988,435.350006,425.825012,427.575012,387.209106,604626
2013-01-08,427.500000,429.075012,424.000000,425.174988,385.035675,598900
2013-01-09,426.500000,429.575012,424.149994,425.774994,385.579010,482612
2013-01-10,428.024994,429.250000,423.524994,424.774994,384.673431,537726
2013-01-11,425.274994,426.850006,418.149994,419.625000,380.009613,497070
2013-01-14,419.000000,426.500000,419.000000,423.399994,383.428253,411770
2013-01-15,423.600006,425.725006,419.049988,422.924988,382.998047,741894
2013-01-16,423.700012,435.000000,423.024994,430.200012,389.586304,1426674
2013-01-17,431.225006,446.549988,430.225006,444.825012,402.830627,1762004
2013-01-18,447.075012,451.350006,442.649994,449.475006,407.041595,1568518
2013-01-21,468.075012,477.399994,459.075012,460.024994,416.595612,2330704
2013-01-22,460.000000,465.299988,458.100006,460.274994,416.821991,1035860
2013-01-23,460.750000,464.225006,458.000000,461.700012,418.112488,854074
2013-01-24,462.500000,464.149994,453.325012,457.174988,414.014679,693610
2013-01-25,457.500000,458.799988,453.000000,455.950012,412.905334,523096
2013-01-28,455.174988,457.399994,447.500000,448.825012,406.452972,710752
2013-01-29,447.750000,450.725006,440.024994,441.274994,399.615753,755414
2013-01-30,443.174988,451.424988,443.174988,449.524994,407.086884,1560424
2013-01-31,450.000000,450.000000,441.774994,443.274994,401.426941,511824
2013-02-01,445.500000,449.500000,441.825012,446.725006,404.551208,602336
2013-02-04,447.174988,450.299988,441.799988,443.174988,401.336365,650154
2013-02-05,442.000000,443.000000,437.000000,438.174988,396.808411,537776
2013-02-06,439.575012,441.450012,435.575012,437.450012,396.151855,416754
2013-02-07,435.950012,440.750000,434.200012,435.524994,394.408539,444090
2013-02-08,436.000000,436.924988,429.000000,432.100006,391.306885,518800
2013-02-11,432.149994,436.950012,430.500000,433.899994,392.936981,360612
2013-02-12,434.700012,439.924988,433.100006,437.975006,396.627289,442588
2013-02-13,440.500000,444.000000,436.750000,439.125000,397.668701,627200
2013-02-14,440.000000,441.424988,425.125000,427.575012,387.209106,510830
2013-02-15,427.500000,428.500000,417.250000,422.424988,382.545288,878096
2013-02-18,422.774994,427.299988,422.500000,423.649994,383.654663,367956
2013-02-19,425.200012,427.950012,417.524994,424.399994,384.333832,548162
2013-02-20,428.174988,439.250000,428.174988,437.674988,396.355591,989020
2013-02-21,434.000000,438.524994,426.274994,428.375000,387.933563,985714
2013-02-22,429.500000,435.950012,429.000000,431.325012,390.605072,572896
2013-02-25,432.024994,433.000000,425.625000,426.975006,386.665741,516650
2013-02-26,424.850006,424.850006,409.674988,411.975006,373.081848,803374
2013-02-27,414.325012,420.325012,413.500000,415.600006,376.364624,687234
2013-02-28,419.000000,419.850006,402.899994,407.325012,368.870850,1467318
2013-03-01,407.649994,409.000000,403.000000,404.750000,366.538940,790778
2013-03-04,404.750000,408.850006,402.250000,406.274994,367.919952,614856
2013-03-05,408.750000,416.799988,408.750000,413.149994,374.145935,672072
2013-03-06,415.549988,418.924988,413.625000,417.399994,377.994690,665672
2013-03-07,415.000000,420.450012,412.100006,417.825012,378.379547,885106
2013-03-08,420.625000,426.750000,420.024994,425.500000,385.329987,579518
2013-03-11,425.500000,430.350006,420.075012,421.850006,382.024567,600134
2013-03-12,425.000000,427.450012,421.774994,423.750000,383.745178,636076
2013-03-13,421.725006,428.149994,420.000000,421.924988,382.092468,751084
2013-03-14,422.000000,431.575012,417.700012,430.325012,389.699493,880810
2013-03-15,431.625000,434.500000,419.274994,421.899994,382.069855,1105760
2013-03-18,417.000000,421.625000,415.000000,415.799988,376.545685,1412228
2013-03-19,417.500000,419.850006,406.149994,412.524994,373.579895,2291968
