Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,106.924004,107.841003,106.634003,107.165001,97.468315,402763
2013-01-02,107.598999,108.322998,107.405998,107.744003,97.994926,328643
2013-01-03,108.564003,108.564003,105.862000,106.248001,96.634277,205511
2013-01-04,106.152000,106.585999,104.704002,106.248001,96.634277,257582
2013-01-07,106.634003,106.682999,104.801003,104.994003,95.493759,236110
2013-01-08,105.089996,106.055000,104.174004,105.621002,96.064018,136919
2013-01-09,106.585999,107.069000,104.801003,105.332001,95.801163,216634
2013-01-10,105.332001,106.296997,104.415001,104.945999,95.450089,126173
2013-01-11,105.089996,105.186996,102.774002,103.064003,93.738380,160261
2013-01-14,103.691002,103.691002,102.147003,102.485001,93.211777,136285
2013-01-15,103.209000,104.848999,101.905998,104.028999,94.616066,203194
2013-01-16,105.139000,105.139000,101.905998,102.388000,93.123550,183889
2013-01-17,102.918999,103.160004,101.472000,102.822998,93.519180,127319
2013-01-18,104.028999,104.945999,101.327003,104.415001,94.967140,253295
2013-01-21,105.186996,105.332001,103.064003,104.655998,95.186333,275776
2013-01-22,105.186996,105.186996,102.388000,103.545998,94.176765,174588
2013-01-23,104.415001,106.489998,102.532997,106.007004,96.415100,379189
2013-01-24,106.634003,106.731003,102.388000,103.545998,94.176765,253137
2013-01-25,103.305000,103.352997,101.808998,102.485001,93.211777,5393415
2013-01-28,103.209000,103.257004,102.147003,102.388000,93.123550,148376
2013-01-29,102.485001,103.835999,101.858002,102.629997,93.343651,486766
2013-01-30,102.774002,102.967003,99.541496,99.831001,90.797920,162271
2013-01-31,99.831001,99.831001,97.032501,97.659698,88.823082,398359
2013-02-01,98.238701,99.589798,97.659698,99.058998,90.095772,3833192
2013-02-04,99.734497,99.782799,96.550003,96.791199,88.033165,225825
2013-02-05,95.826202,97.804497,95.102402,95.343697,86.716629,1367305
2013-02-06,95.247200,96.839500,94.909401,95.488403,86.848259,308512
2013-02-07,95.536697,95.826202,93.413696,93.606697,85.136803,287099
2013-02-08,93.992699,94.475197,92.641602,93.703201,85.224579,332296
2013-02-11,94.089203,94.861198,92.110901,94.185699,85.663422,778617
2013-02-12,94.040901,94.089203,92.931198,93.461899,85.005112,218147
2013-02-13,93.606697,93.703201,90.518600,90.952904,82.723137,263081
2013-02-14,90.711601,92.110901,89.650101,91.676598,83.381363,204365
2013-02-15,91.676598,93.799698,90.856400,93.317200,84.873505,217930
2013-02-18,94.040901,94.040901,92.159103,92.882896,84.478500,210787
2013-02-19,93.075897,93.654900,92.207397,93.510201,85.049042,179839
2013-02-20,93.751404,94.426903,93.220703,93.896202,85.400116,135809
2013-02-21,94.089203,94.861198,93.317200,93.847900,85.356186,235106
2013-02-22,94.378700,95.054199,92.689903,93.847900,85.356186,205097
2013-02-25,93.896202,95.054199,93.606697,94.716400,86.146111,140222
2013-02-26,94.716400,95.102402,93.510201,93.896202,85.400116,144736
2013-02-27,93.847900,94.668198,92.979401,93.992699,85.487885,148111
