,index,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out
,^NSEI,SBIN.NS,TATASTEEL.NS,LT.NS,RELIANCE.NS,INFY.NS,BHARTIARTL.NS,TCS.NS,TATAMOTORS.NS,SUNPHARMA.NS,ITC.NS,COLPAL.NS,BRITANNIA.NS,DLF.NS,HAVELLS.NS,DABUR.NS,HINDZINC.NS,PIDILITIND.NS,PGHH.NS,TATAPOWER.NS,CUMMINSIND.NS
2013-01-01,5993.25,162.694336,368.073029,646.220154,380.683624,443.519958,312.2948,1157.285767,309.782898,363.291992,169.515747,695.764221,475.276947,220.589157,109.736191,123.980499,125.229034,218.826141,2674.864014,97.779999,467.916626
2013-01-02,5993.25,164.310242,368.031555,656.022949,383.966553,443.586853,311.276703,1156.507813,311.004669,363.979767,168.424301,681.199463,478.073547,220.448547,111.496971,124.267929,126.189156,222.929413,2652.054932,98.306618,467.601288
2013-01-03,6009.5,165.721664,371.516693,650.972473,389.762634,449.099976,318.015167,1172.345093,311.102509,360.516357,167.33194,681.422485,481.296753,223.916504,110.689583,123.357727,129.892563,220.081253,2632.456543,96.68306,484.043854
2013-01-04,6016.149902,166.734116,364.125061,647.453247,390.260712,451.338318,317.045624,1189.372803,308.46225,361.154999,166.6539,679.79425,483.666687,222.838623,109.384026,122.639122,127.880844,223.750122,2630.754883,96.72673,484.719696
2013-01-07,5988.399902,165.453461,370.341461,631.604126,387.883423,456.188354,316.851685,1185.390503,306.359711,365.576385,164.676346,684.656616,475.703522,220.307953,110.955849,122.54332,129.298187,220.419174,2600.359375,95.497917,482.42215
2013-01-08,6001.700195,167.180008,363.998962,623.153503,385.189178,450.271759,320.245148,1190.334351,307.239502,370.636475,168.601334,689.251343,474.09198,222.229401,111.531342,123.549332,128.932419,221.095016,2608.140625,96.11187,476.385712
2013-01-09,5971.5,169.154648,354.717987,616.313416,386.117432,447.774445,323.590149,1168.683594,320.1492,373.952484,164.94191,687.533875,479.163727,218.995789,116.908188,122.399597,126.920692,219.26062,2550.900635,95.849007,477.15152
2013-01-10,5968.649902,170.247559,353.205994,615.080444,384.91745,446.103302,320.002747,1152.021973,326.359924,370.538208,165.827118,680.173401,470.20517,219.042633,116.753586,122.687042,124.726089,221.336395,2549.441406,95.454254,470.214111
2013-01-11,5951.299805,167.025772,350.517883,609.254211,380.32135,520.982178,315.300385,1195.918335,323.132507,363.169159,161.342682,669.668091,464.659393,215.99646,115.645592,120.770805,122.760117,216.026245,2528.140625,93.74247,464.853363
