date,index,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out
,^BSESN,SBIN.BO,TATASTEEL.BO,LT.BO,RELIANCE.BO,INFY.BO,BHARTIARTL.BO,TCS.BO,TATAMOTORS.BO,SUNPHARMA.BO,ITC.BO,COLPAL.BO,BRITANNIA.BO,DLF.BO,HAVELLS.BO,DABUR.BO,HINDZINC.BO,PIDILITIND.BO,PGHH.BO,TATAPOWER.BO,CUMMINSIND.BO
01/01/13,19714.24023,189.356583,388.741577,645.9953,380.643585,443.405701,312.338684,1156.646362,309.445129,363.287537,169.530487,697.273438,474.988983,220.47821,109.611824,123.981285,125.221069,218.534561,2668.563232,97.468315,467.821777
02/01/13,19714.24023,189.356583,388.830261,655.59967,383.858429,443.271271,313.069366,1155.914551,314.288727,363.950714,168.497375,684.024231,478.022247,220.431335,111.080429,124.26873,126.455452,222.686096,2651.88208,97.994926,467.551453
03/01/13,19764.7793,192.865036,391.890198,651.145996,389.654205,448.784302,319.304474,1170.241577,310.815186,359.971558,167.317307,682.105957,482.524719,223.617874,110.642418,123.262688,129.792847,220.368973,2625.085205,96.634277,483.273254
04/01/13,19784.08008,192.865036,384.39563,647.347351,389.744781,451.089386,318.671204,1187.818481,308.36969,360.95401,166.668396,680.566895,484.041351,222.821228,109.371368,122.59201,127.689842,223.120575,2644.29541,96.634277,484.084076
07/01/13,19691.41992,192.865036,390.737152,632.135132,387.209106,456.160583,318.281494,1181.455688,309.543976,365.154297,164.779221,685.697021,476.221222,220.150177,110.908661,122.59201,129.015656,220.851715,2612.100586,95.493759,482.462372
08/01/13,19742.51953,194.621231,384.661713,622.988037,385.035675,449.725464,321.788727,1188.550537,307.244781,369.894989,168.379639,689.065125,473.661957,221.790283,111.492668,123.406425,128.375626,220.803452,2617.839111,96.064018,477.011536
09/01/13,19666.58984,194.621231,374.905487,616.525513,385.57901,447.228302,324.614014,1167.90686,319.470337,373.382935,165.133316,686.745361,478.30661,219.212982,116.997726,122.927345,126.912651,219.644882,2571.29834,95.801163,475.479919
10/01/13,19663.55078,194.621231,372.643799,614.477295,384.673431,445.720856,321.399048,1152.161011,326.071472,369.67395,165.783112,679.451721,471.1026,218.697495,116.67997,122.831543,124.626755,221.141373,2553.887939,95.450089,470.164246
11/01/13,19663.64063,194.621231,369.761261,609.067932,380.009613,521.06842,316.333069,1195.920532,322.893463,362.992798,161.415161,669.882751,465.557434,215.604721,115.615013,120.723671,123.300934,216.410522,2533.753662,93.73838,464.127869
14/01/13,19906.41016,194.99588,375.659332,618.175598,383.428253,539.249451,320.911896,1221.507568,320.790985,360.880341,164.012573,664.507446,461.671051,232.240173,115.649384,122.975266,123.666664,210.666,2556.075928,93.211777,474.984375
15/01/13,19986.82031,194.99588,376.147186,619.74707,382.998047,535.926392,336.353485,1221.507568,323.479645,358.497742,167.25798,655.206177,460.296631,236.64505,118.483498,122.87944,124.12384,210.2798,2532.829834,94.616066,470.209351
16/01/13,19817.63086,194.99588,368.031769,613.36322,389.586304,532.29657,333.625641,1234.140991,316.364532,353.658813,167.405823,653.644958,467.785004,232.989944,117.530197,123.262688,120.832153,209.700546,2536.720459,93.12355,466.695618
17/01/13,19964.0293,194.99588,371.269104,607.736389,402.830627,537.127319,344.829315,1247.094604,321.377167,352.160461,168.291107,644.990601,463.993439,241.190506,114.781952,123.693871,120.695015,211.96936,2517.704834,93.51918,456.424713
18/01/13,20039.03906,194.99588,367.765656,611.076782,407.041595,535.897949,339.665894,1236.93335,320.887817,350.220001,169.412766,666.358765,461.52887,245.689087,113.648308,123.45433,118.774864,210.569458,2497.765625,94.96714,443.045471
21/01/13,20101.82031,194.99588,367.233521,623.30658,416.595612,537.473145,345.852264,1219.035767,315.899933,343.710815,171.537399,667.250916,464.13559,240.628159,113.785728,122.639908,119.323486,211.052185,2479.090576,95.186333,441.468842
22/01/13,19981.57031,192.349899,362.931885,617.360413,416.821991,534.687744,342.588593,1204.525513,314.634705,349.040955,170.356445,661.139282,464.514771,237.394806,114.19796,124.22081,120.237823,210.134964,2456.865723,94.176765,443.405853
23/01/13,20026.60938,192.349899,361.690186,620.900391,418.112488,535.715759,357.78656,1203.699951,305.142273,348.893585,172.688278,638.611633,460.344025,235.660965,112.969833,122.927345,116.214668,207.721283,2392.281982,96.4151,445.433075
24/01/13,19923.7793,191.885468,358.807648,630.564636,414.014679,537.300232,351.697662,1216.453979,287.097473,348.132111,175.521164,637.273132,449.727631,235.426666,111.131943,122.160866,114.84314,205.259354,2393.740723,94.176765,448.090851
25/01/13,20103.5293,196.166687,360.581543,639.234802,412.905334,540.671021,350.33371,1227.510742,294.433014,356.729187,176.730438,628.261841,459.064331,243.486649,113.227478,123.262688,117.723366,205.645538,2423.455078,93.211777,443.856354
28/01/13,20103.34961,196.166687,359.872009,633.825378,406.452972,539.788147,348.385223,1232.878296,301.767578,354.174622,177.291718,618.737732,452.997894,250.187698,112.403015,125.562218,116.580406,205.838638,2402.543213,93.12355,441.378754
29/01/13,19990.90039,191.799622,353.840881,634.203125,399.615753,537.549866,339.909424,1231.82312,296.975433,349.630493,180.360077,608.7229,455.55722,246.95433,111.063255,124.26873,116.534683,208.155792,2423.601318,93.343651,440.793091
30/01/13,20005,190.090256,360.049408,622.013489,407.086884,536.416626,335.768951,1233.061646,292.428375,348.230347,179.179993,617.622681,451.386444,255.576599,112.13678,124.36454,116.763275,220.224167,2418.980713,90.79792,431.558289
31/01/13,19894.98047,190.183929,359.029388,613.621643,401.426941,535.696594,330.654236,1232.052368,294.568481,352.848236,181.422424,602.588989,458.353424,260.356415,112.866776,126.232887,117.58622,223.989502,2429.680176,88.823082,440.162415
01/02/13,19781.18945,190.183929,355.437317,610.440674,404.551208,532.276672,321.983551,1235.401611,278.73587,353.60965,182.455551,600.247131,448.35321,251.124893,112.49749,127.622154,117.266174,237.409546,2431.625488,90.095772,452.595642
