Position,index,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out
Symbols,^BSESN,SBIN.BO,TATASTEEL.BO,LT.BO,RELIANCE.BO,INFY.BO,BHARTIARTL.BO,TCS.BO,TATAMOTORS.BO,SUNPHARMA.BO,ITC.BO,COLPAL.BO,BRITANNIA.BO,DLF.BO,HAVELLS.BO,DABUR.BO,HINDZINC.BO,PIDILITIND.BO,PGHH.BO,TATAPOWER.BO,CUMMINSIND.BO
Historical time period considered in M,,,,,,,,,,,,,,,,,,,,,
1,0.08482988906882839,0.19795974030846963,0.21036821929729357,0.17206059011268568,0.11836968021681775,0.1441172350133891,0.30185722359272477,0.19568917975304087,0.20914686459864745,0.3103133159341951,0.18193478972852078,0.14792775554834786,0.18400485416267467,0.37575016190982247,0.22315018366642664,0.14210053473343354,0.2011583846720596,0.30461287172879936,0.15734608457732327,0.24045682758080222,0.2566202479701641
2,0.09122569377730626,0.2842343604663381,0.20224975140085177,0.1861878668737715,0.18467115744808207,0.1959606431381233,0.2799357262561948,0.178724213674338,0.2546981134966816,0.31066985283598536,0.16150033413666218,0.14024029255513296,0.17287847636202802,0.38110582705174395,0.22118034365525463,0.17677547814539063,0.2200471044486481,0.2726886491155267,0.15302474373525982,0.2803226872884542,0.20774303072442848
3,0.0901687007061612,0.5725720838099793,0.2159931860673079,0.19811979235663116,0.21859077974896907,0.17974799255883966,0.3903014929508536,0.16264735663505658,0.24947956095508003,0.2960445011031655,0.15588874574490968,0.16650639206753162,0.18917504731689702,0.3598125024780415,0.2774885947129752,0.1957816417019254,0.22002725140434068,0.23044269801733025,0.13591045937309687,0.2464767941941279,0.19077628727717022
4,0.09219449379124951,0.5024003810263548,0.225637870240774,0.2188422044308473,0.21673689968564977,0.17109105884892406,0.35130198736540497,0.15239712880585957,0.26209883221553076,0.3066513730190851,0.16636380486078564,0.17070609318386956,0.1723651090616962,0.3742701090678393,0.2686076248700036,0.2002955024364244,0.24663730932920594,0.223350690333546,0.12612151804328126,0.26392965295503906,0.19820234172536322
5,0.09643181093123061,0.4649471968479788,0.23900756486712985,0.20202245035008345,0.2143226639107841,0.2622868326185847,0.32334627725393816,0.14748747762937223,0.2989532930524048,0.326546479356339,0.16313594080109695,0.1803407510224556,0.1877757737536445,0.4776243654809071,0.28917315595923176,0.21445025892675593,0.2556339418384483,0.21161330291894995,0.13201539798456544,0.2634805566437234,0.2245679769096866
6,0.09331923378322762,0.43239858115975965,0.2289858411302517,0.1961901082618488,0.2201997999691055,0.25213749055961704,0.3172766875717827,0.16769128248012258,0.2825104753969211,0.3145466532779978,0.26200015166791585,0.17128374454595488,0.17859691065703742,0.4438264080093673,0.2785539952569743,0.2063828817819373,0.244988974467794,0.20971456741252856,0.13230681808239714,0.2447100682980263,0.23454585342035214
7,0.08953489126874548,0.40537787846938006,0.22544482022969575,0.19183306577768666,0.21749545639780274,0.2423592082072748,0.29778368909657027,0.18385243267288065,0.27748173149150157,0.3040516217773311,0.2665554839185672,0.17683380613665173,0.17471760626032343,0.4219162374792864,0.27161445308834337,0.19582019219525726,0.2385720378753655,0.212571725690851,0.13255166220809964,0.2423686124968362,0.22551438742221214
8,0.08984124622994728,0.3903452662148649,0.24916392962586958,0.19984833034576505,0.21456251462506926,0.23557760076755135,0.2988588197671007,0.18708392323367656,0.2776036922308673,0.3338546869399236,0.2724103568475547,0.19112680639355323,0.19139326223040698,0.43113301755237476,0.28733134511711095,0.20129729903418195,0.24973091414736034,0.21374369872115878,0.1668251494444997,0.2371106852480951,0.2650748468294131
