Position,in,in,in,in,in,in,in,in,in,in,index,out,out,out,out,out,out,out,out,out,out
Symbols,BHARTIARTL.BO,INFY.BO,ITC.BO,LT.BO,RELIANCE.BO,SBIN.BO,SUNPHARMA.BO,TATAMOTORS.BO,TATASTEEL.BO,TCS.BO,^BSESN,BRITANNIA.BO,COLPAL.BO,CUMMINSIND.BO,DABUR.BO,DLF.BO,HAVELLS.BO,HINDZINC.BO,PGHH.BO,PIDILITIND.BO,TATAPOWER.BO
Historical time period considered in M,,,,,,,,,,,,,,,,,,,,,
1,49.66123797337309,54.067829844233756,16.310218965548415,74.62798286511781,41.78666755708696,20.509283069875465,55.214014911049105,29.866118592481598,50.97164267209848,176.8852497325131,1259.6972539022208,294.9375794953712,58.087431739841236,73.66215841213682,17.95199653301762,29.75622012782432,41.05277145499264,20.740596132401407,520.5395210708975,85.89531168736539,7.292222131999303
2,46.511136917836836,68.31469564558404,14.88686588043683,79.34399154103721,57.768637426606574,27.730903708532423,55.26978062181672,35.168667824840156,49.37729155119064,164.7095845849076,1312.8726395852063,281.0063574968203,55.88975795836188,61.82010413993419,21.132857593421107,30.13977130129817,40.7545238514104,22.307481948592994,509.8922508899759,78.02664496708394,8.308717508578688
3,62.46285218464624,63.82474501705349,14.49837187147071,83.34666633620157,66.13190314084477,52.40625486463725,52.984630466503916,34.558290569392625,52.07855642763582,153.2479951717446,1304.033501329588,301.4316672747541,63.43885069556643,57.74675707343181,22.897307597422866,28.615944757689363,49.333815348776966,22.305830626406333,467.99366563292915,67.68641127010324,7.445183466962142
4,56.802542248977545,61.438838637467825,15.224448701869022,90.33474654996587,65.67256826345044,46.373966147496134,54.64141753742223,36.035404494001625,53.980509019156955,145.98635299785792,1320.990855639593,280.36512315249274,64.65541120971034,59.52681127673577,23.318103588047308,29.65025672915533,47.974039091951056,24.526615610609383,444.2555820042562,65.96030310926233,7.88975901663995
5,52.759319969345825,86.90746054301894,15.000307907393221,84.65935816006208,65.07474973921546,43.15513116678039,57.755798517245694,40.36926382204956,56.62481863525869,142.5226645080602,1356.6744078476331,299.6728710646339,67.45474081967609,65.88007104042208,24.64151679279587,37.07518376053525,51.12609202175912,25.280524428277317,458.5260764395589,63.11072889537627,7.878299502707954
6,51.88333025948913,84.04323187472494,21.980222652294344,82.69821972356192,66.53075832835043,40.36089016574769,55.87632919425073,38.43227778879617,54.64186399756869,156.835037591542,1330.435138483379,288.15852355041625,64.82292364240232,68.29638851294487,23.886553833944816,34.642710647473535,49.49708630355616,24.388645381181476,459.23344578177966,62.65064613960794,7.400271322773243
7,49.07504161835527,81.28951433031989,22.306120236321334,81.23564427518795,65.8604870497769,38.044729191803185,54.23509402756105,37.84094526105156,53.942391388348426,168.3819757421652,1298.742537866925,283.30472831053976,66.4345062316803,66.10899916943617,22.900898725552338,33.06768683967201,48.43417090380814,23.852016989120074,459.8278846786534,63.34306111005105,7.340776177119501
8,49.22972138246075,79.38326482440414,22.725404256167224,83.9278703064789,65.13412392750968,36.75796831119874,58.9018698702053,37.85528053242649,58.63913627830772,170.6998045795715,1301.2990707381687,304.22163040075793,70.60126377980589,75.7239167698425,23.41157814369089,33.73002070005569,50.8433450158509,24.78569339643235,543.9778674154086,63.62724743521983,7.207290936266794
