Position,in,in,in,in,in,in,in,in,in,in,index,out,out,out,out,out,out,out,out,out,out
Symbols,BHARTIARTL.BO,INFY.BO,ITC.BO,LT.BO,RELIANCE.BO,SBIN.BO,SUNPHARMA.BO,TATAMOTORS.BO,TATASTEEL.BO,TCS.BO,^BSESN,BRITANNIA.BO,COLPAL.BO,CUMMINSIND.BO,DABUR.BO,DLF.BO,HAVELLS.BO,HINDZINC.BO,PGHH.BO,PIDILITIND.BO,TATAPOWER.BO
Historical time period considered in M,,,,,,,,,,,,,,,,,,,,,
1,36.674566647038205,28.407420205465485,9.814256672062214,43.593777998944745,19.045862327063816,12.867700842644368,41.12091299310242,19.21975236281756,32.887387440969576,110.37009246833657,418.8311713365665,178.5052971429809,31.03697195064467,51.50467460827866,9.345031717953859,23.35284566423185,27.173237909157677,13.111358949156212,288.92303549851795,63.611273084818095,4.9750574252384965
2,33.52446559150195,42.65428600681588,8.3909035869506,48.309786674864085,35.02783219658346,20.08932148130137,41.17667870387001,24.522301595176174,31.293036320061788,98.19442732073094,472.00655701955293,164.57407514442957,28.83929816916543,39.662620336076145,12.525892778357289,23.73639683770574,26.874990305575437,14.678244765347756,278.2757653175963,55.742606364536584,5.9915528018178925
3,49.47618085831135,38.16433537828516,8.002409577984508,52.312461470028495,43.3910979108216,44.764672637406164,38.89152854855723,23.911924339728614,33.99430119650697,86.73283790756773,463.16741876392825,184.99938492236356,36.388390906369864,35.589273269573596,14.290342782359062,22.212570294096906,35.45428180294206,14.676593443161096,236.3771800605482,45.402372667555824,5.128018760201332
4,43.81587092264269,35.778428998699496,8.728486408382764,59.300541683792744,42.93176303342727,38.73238392026505,40.548315619475545,25.389038264337614,35.89625378802813,79.47119573368127,480.12477307393965,163.93284080010244,37.60495142051366,37.36932747287767,14.711138772983503,23.246882265562846,34.09450554611607,16.89737842736419,212.6390964318757,43.67626450671503,5.572594309879129
5,39.77264864301097,61.24705090425067,8.50434561390702,53.62515329388907,42.333944509192236,35.513548939549295,43.662696599298926,29.72289759238552,38.54056340412987,76.00750724388365,515.8083252819797,183.24058871224292,40.40428103047947,43.72258723656387,16.03455197773208,30.671809296942826,37.24655847592416,17.651287245032094,226.90959086717885,40.82669029282897,5.56113479594714
6,38.89665893315427,58.38282223595672,15.484260358808086,51.664014857388906,43.78995309832726,32.71930793851661,41.783227276304075,27.78591155913216,36.55760876643981,90.31988032736524,489.56905591772465,171.7262411980255,37.77246385320569,46.13890470908677,15.279589018880998,28.23933618388108,35.6175527577212,16.75940819793628,227.61696020939917,40.36660753706076,5.0831066160124365
7,36.088370292020386,55.62910469155162,15.81015794283509,50.201439409014995,43.11968181975374,30.4031469645721,40.141992109614364,27.19457903138749,35.85813615721963,101.86681847798843,457.876455301267,166.87244595814832,39.38404644248368,43.95151536557802,14.29393391048852,26.66431237607955,34.55463735797315,16.22277980587488,228.2113991062729,41.05902250750387,5.023611470358695
8,36.24305005612587,53.72285518563592,16.22944196268095,52.89366544030594,42.39331869748639,29.11638608396771,44.80876795225862,27.208914302762423,40.55488104717887,104.18464731539484,460.43298817251434,187.7893480483674,43.550803990609325,53.56643296598435,14.80461332862707,27.32664623646322,36.96381147001597,17.156456213187155,312.36138184302945,41.34320883267253,4.890126229505984
