Position,index,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out
Symbols,^NSEI,SBIN.NS,TATASTEEL.NS,LT.NS,RELIANCE.NS,INFY.NS,BHARTIARTL.NS,TCS.NS,TATAMOTORS.NS,SUNPHARMA.NS,ITC.NS,COLPAL.NS,BRITANNIA.NS,DLF.NS,HAVELLS.NS,DABUR.NS,HINDZINC.NS,PIDILITIND.NS,PGHH.NS,TATAPOWER.NS,CUMMINSIND.NS
Historical time period considered in M,,,,,,,,,,,,,,,,,,,,,
1,0.09076610114981289,0.19772676009699594,0.21199547502510524,0.17257838002440437,0.12185766992521561,0.14568887777874293,0.3127846739190782,0.21212793078368067,0.2141893708893447,0.30066834780492335,0.18684495172744006,0.14161793281958074,0.19047568244477528,0.3710126751665591,0.21920186293353508,0.1542633921477134,0.22408610856955732,0.3126119700718524,0.18086508462385018,0.24350800739255002,0.24895479738120355
2,0.09379084901288944,0.28972018506765995,0.19979691669553737,0.18987685786229733,0.18460908851214855,0.1971187763732153,0.2844418360608415,0.18496715541499714,0.2622688094813398,0.30671826084054815,0.16596643647954795,0.1437820212478035,0.17120368224933957,0.3827492130094085,0.22610889735238612,0.17336178881020448,0.23559328290559478,0.27585110507935623,0.15911817329995562,0.28098965469828363,0.21217567448123997
3,0.09093855683098684,0.5762777500715245,0.2111809922464988,0.1974167133434645,0.21861656557641432,0.17979043891413718,0.39263654771103046,0.16917299302770153,0.2556975112402169,0.2926243176946077,0.15920762969189256,0.171883428435861,0.18960168211648398,0.36263706437064663,0.2799181285945655,0.19719596917663126,0.2300378258191757,0.23502275497775943,0.13736234254179316,0.24779381432847034,0.19516136425849728
4,0.09403137515476354,0.5055584840134769,0.22209871017764707,0.21919168918686863,0.2182109174383755,0.17157301724097138,0.35458035058189535,0.1611740132137772,0.26907824648532586,0.3073550645257855,0.1714973562796578,0.173659162526611,0.1700946134567692,0.3767661435569031,0.2685873367798897,0.19985972942249838,0.2533361238081557,0.22936544539259313,0.12561506250442736,0.26662681690972156,0.20051942970829523
5,0.09868095418219369,0.4686854060539181,0.23896285685560625,0.20281933682626443,0.21592688010648292,0.26294544784693297,0.3252139522408496,0.15537279463827133,0.30500188169251885,0.3273417225561737,0.16691435199358914,0.18209122540000813,0.1856796839714527,0.4800949866957159,0.28989177209847594,0.2116801330934566,0.26457459575028086,0.21570774212508662,0.13081428553932056,0.26595978494597416,0.2334559803598717
6,0.09473555877920478,0.43568601089253567,0.22890274625089724,0.1964260570909505,0.22264827647927898,0.25328290036248124,0.31860092793175177,0.17390871430154023,0.2887092287192026,0.3161140603252482,0.2631842882275517,0.1729564143224298,0.1758035809861598,0.4464970227241757,0.278253559354648,0.2048216825419717,0.25495825853116383,0.21582243808682458,0.1319053144089819,0.2465028023338746,0.23995504433053125
7,0.09099233197930759,0.4082055658875561,0.22587525388882862,0.1929860552718989,0.21937117377337048,0.24357751802112318,0.29894626250180195,0.18862781755581387,0.2833035329084577,0.3068871208546033,0.26842484648641834,0.17945477275950525,0.17084763044234347,0.4248992689169435,0.27316015108048936,0.1939884477971108,0.2486343407390323,0.2181444238455693,0.12955855462553179,0.24437027146211152,0.2319453271364502
8,0.09096894639746123,0.3930526231554051,0.25152025458026245,0.20088418762856977,0.21639700148346838,0.23626834482427556,0.2999018741929371,0.19188451124573283,0.28258079360007576,0.3353213984874603,0.27298066536795396,0.19291056743264437,0.1862162539094876,0.4345441204453924,0.28897642641344023,0.20257373804556011,0.2603038947112867,0.22106836292471863,0.16394790558348107,0.23941704680597037,0.2694254027380619
9,0.0896831043065626,0.37864871089827173,0.25126637946338287,0.19852054864594273,0.21938647690375718,0.2359799192124172,0.2916639875585697,0.18858543297157693,0.2738664513998213,0.325773890608132,0.2706128305289217,0.1888565271105126,0.1879898335884631,0.44299941010972793,0.2799203751685145,0.1975854024540607,0.2601541719353724,0.2122929511055949,0.15947081006885952,0.23469321024614148,0.2678122957787089
10,0.08983565200828954,0.3638605485529051,0.2518426099509233,0.2055529915782949,0.22551549609786528,0.2299478149247431,0.2867393540487539,0.1855337439515416,0.26874746255557175,0.31455917425050933,0.2664123483644516,0.18580543305185385,0.18420319777919428,0.4342208447484961,0.2711585005428535,0.1913280941041924,0.29519575257416897,0.2073452103697226,0.16794725837691182,0.2278077907739035,0.2593332614333671
11,0.08793138241593954,0.34982745436876395,0.2531159500602666,0.1993141120557424,0.2493770361841929,0.2290784880231836,0.2842506676183002,0.1945686633362132,0.2887546187265971,0.3167869136839779,0.2607340534656542,0.18396970116625513,0.18162570023391542,0.4280245087964978,0.2704740679011362,0.19169812700883676,0.29925140171703973,0.20461609285686047,0.16197289594232672,0.22447266233302002,0.2619099691774072
