Position,in,in,in,in,in,in,in,in,in,in,index,out,out,out,out,out,out,out,out,out,out
Symbols,BHARTIARTL.NS,INFY.NS,ITC.NS,LT.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,^NSEI,BRITANNIA.NS,COLPAL.NS,CUMMINSIND.NS,DABUR.NS,DLF.NS,HAVELLS.NS,HINDZINC.NS,PGHH.NS,PIDILITIND.NS,TATAPOWER.NS
Historical time period considered in M,,,,,,,,,,,,,,,,,,,,,
1,38.266905573552606,28.91015585605129,10.163858933775316,43.811411173071406,19.868377492903534,12.865024122755273,39.63773656757576,19.833522358677612,31.63575506188272,122.27173785949367,144.75985556529668,186.37774364212032,29.34972935551434,49.589213670650736,10.487145162304586,23.013718604922857,26.58977469755436,15.00709225736746,347.813909732869,65.56359918233477,5.033716296448862
2,34.18722665757065,43.08972289942699,8.705835273954222,49.59674227955264,35.012616089913365,20.579449454038638,40.58364393785186,25.447261911824285,29.353823624717762,102.69684691290081,152.60584582560068,162.25870011757593,29.970336518602892,40.689985983076156,12.24889213264045,23.854125125421547,27.63623819584646,15.966192368272885,293.76061133572057,56.49827590288504,5.9862165632629605
3,49.839262819331424,38.27706911190387,8.236735523849632,52.13001408240132,43.3974885036327,45.14130682279112,38.38139666465014,24.676411593823957,31.48313190269593,91.40262826011383,145.20592995368588,185.28007895108613,38.0988065210455,36.603519479289844,14.467632210284378,22.414528749856274,35.84576730463391,15.50281212116316,240.29300214001205,46.50069320581662,5.142261252910224
4,44.31181164678196,36.00605019636589,9.090828032030146,59.4802127001056,43.296960522012796,39.05430385529009,40.68325762585036,26.247097275099406,33.531884130437874,85.71240286013426,153.2317162926911,160.87649335390688,38.616218183579974,37.888043367030264,14.716780205952944,23.425592313604326,34.10959443064334,17.450121268886235,211.7508230686799,45.122478596555936,5.620399489224127
5,40.06127946095833,61.595672143845945,8.771748117368645,53.949135851383346,42.73113900591483,35.881001810901,43.81420765085065,30.482568557811874,36.70804541611943,81.59967357993116,165.3832856043132,180.35868254520892,41.07837402776761,45.82919568371153,15.824894812025533,30.849722653046726,37.37683583663011,18.392957641056327,224.35039731512643,41.8034571084778,5.6034339638009385
6,39.10620607743502,58.8611036249423,15.577824029548694,51.79679768562016,44.397230409438066,33.04399384984231,42.05432371661402,28.558509135811306,34.81173519088651,94.78129836879884,155.06566810207732,167.99855272649393,38.41140470582036,47.40424238178815,15.181452898431445,28.43143020749463,35.59049084879058,17.58607528566742,227.00118944250062,41.83127898162769,5.109553485536328
7,36.2727796447962,56.11997807139494,15.953068025752017,50.64058550559639,43.58452565064522,30.684952320399944,40.61005741047131,27.921239806471476,34.24198086585241,105.32458880379579,145.3450569844149,161.81488705983952,40.307629207209516,45.46344037730336,14.16791779318352,26.878640776198054,34.80983957310744,17.056318957809324,221.30230940642923,42.39471568839093,5.055546224557894
8,36.41035243216646,54.059543409532864,16.279583441659142,53.29718624533979,42.84757220733019,29.385951887758935,45.066520973276255,27.836081111834062,39.08129097833543,107.66528220788564,145.28455195157358,181.0315616647831,44.24935551252469,54.57452519153293,14.970849071865558,27.571857645180557,37.236213590368806,18.034422757763068,305.71865402769936,43.10472877652359,4.930203612192631
9,35.22507218523029,53.97830909711911,16.109846375517762,52.501428128004875,43.58831908157623,28.152571593611185,43.56830226853171,26.810133373520898,39.033246060440064,105.29414358783663,141.96220081559932,183.25664792209545,43.05971310139296,54.18094747311619,14.504043235385694,28.17985588857053,35.846111886841356,18.02185867513225,294.63273247937786,40.975542854940386,4.810799674571889
10,34.517252717628,52.280679090694434,15.808920956107244,54.870776432002685,45.10886518914731,26.887903189533574,41.81081103496484,26.20821947044351,39.14229925392732,103.10332935087717,142.35588743174867,178.50781069161462,42.16552552372383,52.11417382047114,13.91958077812778,27.548616719645793,34.50324952598655,20.971863103356398,315.6419006056808,39.777420768649336,4.637001685295246
11,34.15977208471202,52.036229987985564,15.402508643648815,52.76852628952855,51.05064562866119,25.689496968777078,42.159716223512646,28.563862517897945,39.38332940574625,109.59648229263428,137.45069238572023,175.27924247113947,41.6280134053103,52.741886920268655,13.954108592996988,27.103225607615897,34.39844185033547,21.314418718870584,300.82522011771334,39.11731081392992,4.552926293921203
12,34.62399596729128,51.72114320342229,15.369801515305596,53.116900604041234,50.002485082453916,24.984619709982823,40.5833179795045,28.45965266289238,39.77446013483663,115.80638121277514,143.75152206661278,178.7130267224211,40.19337580248572,52.06191674812999,13.621647046804782,26.823894799765313,34.41023523937599,21.319798105785594,304.0894237040916,40.81442650063582,4.516070520445702
13,34.00894189186229,50.461477848340394,15.340914120822504,52.11594856171246,48.51535309682589,24.35274776066626,40.8547853621715,28.5288186866201,40.70795934317405,114.74956567168795,153.09767134115327,179.3213699463256,38.82678020281787,51.53525722173413,14.0628126625393,26.998604375553754,36.00298450102508,21.330529576843233,325.29794961517337,41.4742694544081,4.470490271267689
